SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9516 Densmore Ave N,Seattle,WA,98103,975000,3,2.75,Licton Springs,2220,5000,1924,25,439,,Active,,,http://www.redfin.com/WA/Seattle/9516-Densmore-Ave-N-98103/home/105093,NWMLS,1597657,N,Y,47.6983269,-122.337338
MLS Listing,,Single Family Residential,114 N 48th St,Seattle,WA,98103,948114,3,2,Phinney Ridge,2140,5000,1916,3,443,,Active,,,http://www.redfin.com/WA/Seattle/114-N-48th-St-98103/home/298836,NWMLS,1606758,N,Y,47.6638229,-122.3563995
MLS Listing,,Single Family Residential,6827 Phinney Ave N,Seattle,WA,98103,769950,4,1.75,Phinney Ridge,2100,2800,1924,4,367,,Active,,,http://www.redfin.com/WA/Seattle/6827-Phinney-Ave-N-98103/home/301695,NWMLS,1604013,N,Y,47.6795784,-122.3546569
MLS Listing,,Single Family Residential,947 N 90th St Unit 1 & 2,Seattle,WA,98103,779000,4,2.75,Green Lake,3670,5100,1932,5,212,,Active,,,http://www.redfin.com/WA/Seattle/947-N-90th-St-98103/unit-1-2/home/171126355,NWMLS,1606283,N,Y,47.694021,-122.3451589
MLS Listing,,Single Family Residential,2408 N 40th St,Seattle,WA,98103,920000,3,1.75,Wallingford,2260,5000,1907,9,407,,Active,,,http://www.redfin.com/WA/Seattle/2408-N-40th-St-98103/home/117306,NWMLS,1604689,N,Y,47.6557783,-122.3297729
PAST SALE,April-30-1986,Single Family Residential,510 N 65th St,Seattle,WA,98103,949950,4,3.5,Green Lake,2030,4960,1926,11,468,,Pending,,,http://www.redfin.com/WA/Seattle/510-N-65th-St-98103/home/301113,NWMLS,1603575,N,Y,47.6762652,-122.3521431
PAST SALE,October-27-2008,Single Family Residential,902 N 88th St,Seattle,WA,98103,800000,3,1.75,Greenwood,1610,5100,1932,16,497,,Pending,,,http://www.redfin.com/WA/Seattle/902-N-88th-St-98103/home/98670,NWMLS,1600379,N,Y,47.6929124,-122.347003
PAST SALE,November-17-2003,Single Family Residential,8225 Wallingford Ave N,Seattle,WA,98103,875000,4,3,Green Lake,2034,5190,2003,16,430,,Pending,,,http://www.redfin.com/WA/Seattle/8225-Wallingford-Ave-N-98103/home/307523,NWMLS,1600963,N,Y,47.6895024,-122.3370418
MLS Listing,,Single Family Residential,9748 Densmore Ave N,Seattle,WA,98103,950000,3,2.25,Licton Springs,1780,2500,2012,17,534,,Active,,,http://www.redfin.com/WA/Seattle/9748-Densmore-Ave-N-98103/home/45451327,NWMLS,1601702,N,Y,47.7009514,-122.3373448
PAST SALE,March-11-2010,Single Family Residential,8033 Burke Ave N,Seattle,WA,98103,729000,2,1.5,Green Lake,1660,4536,1926,17,439,,Pending,,,http://www.redfin.com/WA/Seattle/8033-Burke-Ave-N-98103/home/307487,NWMLS,1600581,N,Y,47.6879886,-122.3358514
MLS Listing,,Single Family Residential,8115 Fremont Ave N,Seattle,WA,98103,839950,3,2,Greenwood,2020,3675,1902,18,416,,Active,,,http://www.redfin.com/WA/Seattle/8115-Fremont-Ave-N-98103/home/301733,NWMLS,1596842,N,Y,47.6881301,-122.3502279
PAST SALE,June-30-2006,Single Family Residential,9230 Phinney Ave N,Seattle,WA,98103,760000,3,1.75,Greenwood,1820,6281,1946,23,418,,Pending,,,http://www.redfin.com/WA/Seattle/9230-Phinney-Ave-N-98103/home/99592,NWMLS,1597703,N,Y,47.6970167,-122.3537303
PAST SALE,May-15-2014,Single Family Residential,4118 Whitman Ave N Unit B,Seattle,WA,98103,919393,3,3.25,Wallingford,1550,1570,2014,24,593,,Pending,,,http://www.redfin.com/WA/Seattle/4118-Whitman-Ave-N-98103/unit-B/home/119785,NWMLS,1597533,Y,Y,47.6572605,-122.3456333
PAST SALE,September-21-2016,Single Family Residential,3618 Interlake Ave N,Seattle,WA,98103,899950,4,1.75,Wallingford,1504,2228,1904,30,598,,Pending,,,http://www.redfin.com/WA/Seattle/3618-Interlake-Ave-N-98103/home/119521,NWMLS,1596119,N,Y,47.6511584,-122.3410734
PAST SALE,June-1-2015,Single Family Residential,9727 Fremont Ave N,Seattle,WA,98103,975000,3,3,Greenwood,2780,3696,2012,31,351,,Pending,,,http://www.redfin.com/WA/Seattle/9727-Fremont-Ave-N-98103/home/99427,NWMLS,1595074,N,Y,47.700439,-122.3503534
PAST SALE,December-16-2014,Single Family Residential,1022 N 47th St,Seattle,WA,98103,900000,3,2,Green Lake,1520,3864,1918,32,592,,Pending,,,http://www.redfin.com/WA/Seattle/1022-N-47th-St-98103/home/119692,NWMLS,1594796,N,Y,47.6630911,-122.3450489
PAST SALE,September-16-2013,Single Family Residential,5561 Kenwood Pl N,Seattle,WA,98103,975000,3,2,Green Lake,1530,4000,1924,38,637,,Pending,,,http://www.redfin.com/WA/Seattle/5561-Kenwood-Pl-N-98103/home/304355,NWMLS,1591898,N,Y,47.6700616,-122.3354787
PAST SALE,September-2-1999,Single Family Residential,522 N 84th St,Seattle,WA,98103,900000,5,2.5,Greenwood,2800,3300,1914,45,321,,Pending,,,http://www.redfin.com/WA/Seattle/522-N-84th-St-98103/home/299984,NWMLS,1590342,N,Y,47.6900405,-122.3515593
PAST SALE,January-2-1980,Single Family Residential,815 N 45th St,Seattle,WA,98103,995000,5,1.75,Phinney Ridge,2980,5100,1925,47,334,,Pending,,,http://www.redfin.com/WA/Seattle/815-N-45th-St-98103/home/302447,NWMLS,1589790,N,Y,47.6613012,-122.347872
PAST SALE,August-26-2009,Single Family Residential,8031 Meridian Ave N,Seattle,WA,98103,975000,3,3,Green Lake,1910,4905,1929,48,510,,Pending,,,http://www.redfin.com/WA/Seattle/8031-Meridian-Ave-N-98103/home/307588,NWMLS,1581572,N,Y,47.6878935,-122.3334314
MLS Listing,,Single Family Residential,9725 Phinney Ave N,Seattle,WA,98103,850000,4,1.75,Greenwood,2200,5934,1938,50,386,,Active,,,http://www.redfin.com/WA/Seattle/9725-Phinney-Ave-N-98103/home/99250,NWMLS,1581738,N,Y,47.7004443,-122.3542911
PAST SALE,August-17-2012,Single Family Residential,8215 Sunnyside Ave N,Seattle,WA,98103,799995,3,2,Green Lake,1920,5580,1939,68,417,,Pending,,,http://www.redfin.com/WA/Seattle/8215-Sunnyside-Ave-N-98103/home/306428,NWMLS,1583285,N,Y,47.6891024,-122.3299735
MLS Listing,,Single Family Residential,7740 Corliss Ave N,Seattle,WA,98103,925000,4,2,Green Lake,2360,5000,1948,71,392,,Active,,,http://www.redfin.com/WA/Seattle/7740-Corliss-Ave-N-98103/home/306565,NWMLS,1581944,N,Y,47.6863117,-122.3301578
MLS Listing,,Single Family Residential,8832 Interlake Ave N,Seattle,WA,98103,950000,2,1,Green Lake,1560,5125,1946,88,609,,Active,,,http://www.redfin.com/WA/Seattle/8832-Interlake-Ave-N-98103/home/104899,NWMLS,1573235,N,Y,47.6933727,-122.3398679
MLS Listing,,Single Family Residential,938 N 79th St,Seattle,WA,98103,899000,3,2.25,Green Lake,1830,3000,1987,95,491,,Active,,,http://www.redfin.com/WA/Seattle/938-N-79th-St-98103/home/301747,NWMLS,1569404,N,Y,47.6864327,-122.3454487
MLS Listing,,Single Family Residential,424 N 68th St,Seattle,WA,98103,800000,3,2,Phinney Ridge,1690,2700,1906,100,473,,Active,,,http://www.redfin.com/WA/Seattle/424-N-68th-St-98103/home/301798,NWMLS,1568112,N,Y,47.6788993,-122.3532496
MLS Listing,,Single Family Residential,6520 Linden Ave N,Seattle,WA,98103,754900,3,2,Green Lake,1540,2800,1928,220,490,,Active,,,http://www.redfin.com/WA/Seattle/6520-Linden-Ave-N-98103/home/300404,NWMLS,1530940,N,Y,47.6765425,-122.3474542
PAST SALE,March-20-2020,Single Family Residential,4715 Stone Way N,Seattle,WA,98103,1000000,4,1.75,Wallingford,2530,2999,1916,72,395,,Sold,,,http://www.redfin.com/WA/Seattle/4715-Stone-Way-N-98103/home/120506,NWMLS,1558201,N,Y,47.6633099,-122.34167
PAST SALE,May-8-2020,Single Family Residential,9241 Evanston Ave N,Seattle,WA,98103,780000,3,1.75,Greenwood,1580,5508,1929,23,494,,Sold,,,http://www.redfin.com/WA/Seattle/9241-Evanston-Ave-N-98103/home/98333,NWMLS,1589428,N,Y,47.6974833,-122.3515747
PAST SALE,,Single Family Residential,521 N 84th St,Seattle,WA,98103,810000,4,2,,1730,3774,1921,,468,,,,,http://www.redfin.com/WA/Seattle/521-N-84th-St-98103/home/300226,,,N,Y,47.6896692,-122.3516458
PAST SALE,April-7-2020,Single Family Residential,5635 Kirkwood Pl N,Seattle,WA,98103,925000,2,2.25,Green Lake,1670,3794,1914,54,554,,Sold,,,http://www.redfin.com/WA/Seattle/5635-Kirkwood-Pl-N-98103/home/304999,NWMLS,1566896,N,Y,47.6698507,-122.3326117
PAST SALE,March-17-2020,Single Family Residential,915 N 77th St,Seattle,WA,98103,884000,3,2,Green Lake,1980,4500,1951,75,446,,Sold,,,http://www.redfin.com/WA/Seattle/915-N-77th-St-98103/home/300276,NWMLS,1568360,N,Y,47.6845986,-122.3464475
PAST SALE,,Single Family Residential,515 N 68th St,Seattle,WA,98103,740000,4,1.75,,1940,4356,1917,,381,,,,,http://www.redfin.com/WA/Seattle/515-N-68th-St-98103/home/300384,,,N,Y,47.6784909,-122.3518462
PAST SALE,April-24-2020,Single Family Residential,345 N 81st St,Seattle,WA,98103,835000,3,2,Greenwood,1780,3876,1928,37,469,,Sold,,,http://www.redfin.com/WA/Seattle/345-N-81st-St-98103/home/301406,NWMLS,1568160,N,Y,47.6874762,-122.3532638
PAST SALE,May-12-2020,Single Family Residential,4212 Corliss Ave N,Seattle,WA,98103,870000,2,2,Wallingford,2090,5700,1908,19,416,,Sold,,,http://www.redfin.com/WA/Seattle/4212-Corliss-Ave-N-98103/home/118442,NWMLS,1600841,N,Y,47.6584215,-122.3310734
PAST SALE,April-30-2020,Single Family Residential,514 N 79th St,Seattle,WA,98103,875000,4,2,Green Lake,2190,3000,1913,31,400,,Sold,,,http://www.redfin.com/WA/Seattle/514-N-79th-St-98103/home/300017,NWMLS,1590875,N,Y,47.6863887,-122.3518051
PAST SALE,March-17-2020,Single Family Residential,3641 Ashworth Ave N,Seattle,WA,98103,980000,4,3,Wallingford,1880,3850,1906,75,521,,Sold,,,http://www.redfin.com/WA/Seattle/3641-Ashworth-Ave-N-98103/home/119245,NWMLS,1566860,N,Y,47.6517335,-122.3404705
PAST SALE,,Single Family Residential,1522 N 40th St,Seattle,WA,98103,878000,4,2,,2010,2800,1922,,437,,,,,http://www.redfin.com/WA/Seattle/1522-N-40th-St-98103/home/118143,,,N,Y,47.6558884,-122.3388393
PAST SALE,May-4-2020,Single Family Residential,4102 Dayton Ave N,Seattle,WA,98103,840000,3,1.5,Fremont,1500,3200,1921,27,560,,Sold,,,http://www.redfin.com/WA/Seattle/4102-Dayton-Ave-N-98103/home/302390,NWMLS,1588865,N,Y,47.6568279,-122.3522958
PAST SALE,May-22-2020,Single Family Residential,2113 N 89th St,Seattle,WA,98103,1000000,4,3.5,Green Lake,2360,2250,2009,9,424,,Sold,,,http://www.redfin.com/WA/Seattle/2113-N-89th-St-98103/home/22441371,NWMLS,1588675,N,Y,47.692918,-122.333194
PAST SALE,,Single Family Residential,4408 Densmore Ave N,Seattle,WA,98103,1000000,3,1,,1310,4560,1925,,763,,,,,http://www.redfin.com/WA/Seattle/4408-Densmore-Ave-N-98103/home/118566,,,N,Y,47.6606372,-122.3370977
PAST SALE,May-22-2020,Single Family Residential,1615 N 49th St,Seattle,WA,98103,900000,4,2.5,Wallingford,2360,3000,1920,9,381,,Sold,,,http://www.redfin.com/WA/Seattle/1615-N-49th-St-98103/home/118176,NWMLS,1586935,N,Y,47.6641211,-122.3384505
PAST SALE,April-22-2020,Single Family Residential,118 N 82nd St,Seattle,WA,98103,900000,3,2.5,Greenwood,2100,3840,1911,39,429,,Sold,,,http://www.redfin.com/WA/Seattle/118-N-82nd-St-98103/home/498430,NWMLS,1580838,N,Y,47.6886265,-122.3571
PAST SALE,April-24-2020,Single Family Residential,7711 Sunnyside Ave N,Seattle,WA,98103,855000,3,2.5,Green Lake,1906,4000,1946,37,449,,Sold,,,http://www.redfin.com/WA/Seattle/7711-Sunnyside-Ave-N-98103/home/307517,NWMLS,1585637,N,Y,47.685445,-122.3296494
PAST SALE,April-17-2020,Single Family Residential,935 N 83rd St,Seattle,WA,98103,900000,5,1.5,Green Lake,2460,4080,1927,44,366,,Sold,,,http://www.redfin.com/WA/Seattle/935-N-83rd-St-98103/home/301700,NWMLS,1579721,N,Y,47.6889283,-122.3456646
PAST SALE,April-22-2020,Single Family Residential,6216 Woodlawn Ave N,Seattle,WA,98103,950000,4,1,Green Lake,1980,5500,1914,39,480,,Sold,,,http://www.redfin.com/WA/Seattle/6216-Woodlawn-Ave-N-98103/home/306029,NWMLS,1582037,N,Y,47.6732876,-122.3342526
PAST SALE,April-22-2020,Single Family Residential,1916 N 50th St,Seattle,WA,98103,760000,2,2,Wallingford,1900,3745,1908,39,400,,Sold,,,http://www.redfin.com/WA/Seattle/1916-N-50th-St-98103/home/303926,NWMLS,1581363,N,Y,47.6652232,-122.3343758
PAST SALE,April-7-2020,Single Family Residential,7721 1st Ave NE,Seattle,WA,98103,811000,4,1.75,Green Lake,2260,6000,1963,54,359,,Sold,,,http://www.redfin.com/WA/Seattle/7721-1st-Ave-NE-98103/home/307599,NWMLS,1575832,N,Y,47.6856852,-122.3286164
PAST SALE,May-15-2020,Single Family Residential,1809 N 88th St,Seattle,WA,98103,975000,4,2.75,Green Lake,2280,5265,1989,16,428,,Sold,,,http://www.redfin.com/WA/Seattle/1809-N-88th-St-98103/home/105128,NWMLS,1587055,N,Y,47.6921266,-122.3359183
PAST SALE,,Multi-Family (2-4 Unit),940 N 76th St,Seattle,WA,98103,800000,3,2,,1560,6000,1906,,513,,,,,http://www.redfin.com/WA/Seattle/940-N-76th-St-98103/home/300549,,,N,Y,47.6842373,-122.3454086
PAST SALE,April-27-2020,Single Family Residential,3831 Meridian Ave N,Seattle,WA,98103,825000,4,1,Wallingford,2570,3600,1908,34,321,,Sold,,,http://www.redfin.com/WA/Seattle/3831-Meridian-Ave-N-98103/home/119162,NWMLS,1578426,N,Y,47.6540674,-122.3341484
PAST SALE,April-28-2020,Single Family Residential,321 N 49th St,Seattle,WA,98103,975000,3,2.5,Phinney Ridge,2630,2145,1905,33,371,,Sold,,,http://www.redfin.com/WA/Seattle/321-N-49th-St-98103/home/299108,NWMLS,1585171,N,Y,47.6641459,-122.3544467
PAST SALE,April-3-2020,Single Family Residential,341 N 82nd St,Seattle,WA,98103,861500,3,2,Greenwood,1910,5100,1938,58,451,,Sold,,,http://www.redfin.com/WA/Seattle/341-N-82nd-St-98103/home/300570,NWMLS,1568970,N,Y,47.688195,-122.3534307
PAST SALE,March-30-2020,Single Family Residential,947 N 82nd St,Seattle,WA,98103,800000,5,2.25,Green Lake,2097,3060,1929,62,381,,Sold,,,http://www.redfin.com/WA/Seattle/947-N-82nd-St-98103/home/300735,NWMLS,1576594,N,Y,47.6882124,-122.3451784
PAST SALE,May-6-2020,Single Family Residential,527 N 78th St,Seattle,WA,98103,830000,3,1.75,Green Lake,2280,3000,1925,25,364,,Sold,,,http://www.redfin.com/WA/Seattle/527-N-78th-St-98103/home/300027,NWMLS,1585546,N,Y,47.6853219,-122.3511573
